generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp,off.allnbp,off.allnb,off.fixlocp,off.fixloc,off.ho,off.hsnei,off.htnei,off.fis,off.fst,off.fit,adlt.allnbp,adlt.allnb,adlt.fixlocp,adlt.fixloc,adlt.ho,adlt.hsnei,adlt.htnei,adlt.fis,adlt.fst,adlt.fit
1,6.9993e+03,3.4927e+03,3.5067e+03,3.4993e+00,0.0000e+00,9.9643e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.5838e-01,5.4720e-01,5.6905e-01,4.9775e-01,4.9278e-01,5.0272e-01,1.2000e+01,1.2000e+01,0.0000e+00,0.0000e+00,9.1723e-01,8.0323e-01,8.0323e-01,-1.4195e-01,-7.4000e-17,-1.4195e-01,1.2000e+01,1.2000e+01,0.0000e+00,0.0000e+00,9.1707e-01,9.1667e-01,9.1667e-01,-4.4075e-04,-1.8500e-16,-4.4075e-04,
5,6.9993e+03,3.5017e+03,3.4977e+03,3.4995e+00,0.0000e+00,1.0012e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.7430e-01,5.0798e-01,6.4167e-01,5.7480e-01,5.0762e-01,6.4200e-01,1.2000e+01,1.2000e+01,0.0000e+00,0.0000e+00,6.1443e-01,5.4928e-01,5.4928e-01,-1.1817e-01,-7.4000e-17,-1.1817e-01,1.2000e+01,1.2000e+01,0.0000e+00,0.0000e+00,6.4632e-01,5.7798e-01,5.7798e-01,-1.1839e-01,-3.7000e-17,-1.1839e-01,
10,6.9987e+03,3.5107e+03,3.4880e+03,3.4990e+00,0.0000e+00,1.0066e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.7640e-01,4.7770e-01,6.7708e-01,5.7020e-01,4.7162e-01,6.6878e-01,6.0750e+00,6.0750e+00,0.0000e+00,0.0000e+00,3.3233e-01,2.9407e-01,2.9407e-01,-1.2870e-01,0.0000e+00,-1.2870e-01,6.3417e+00,6.3417e+00,0.0000e+00,0.0000e+00,3.6518e-01,3.2340e-01,3.2340e-01,-1.3116e-01,-1.4800e-16,-1.3116e-01,
15,6.9988e+03,3.4933e+03,3.5055e+03,3.4990e+00,0.0000e+00,9.9685e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.8162e-01,4.9230e-01,6.7095e-01,5.7748e-01,4.8935e-01,6.6560e-01,3.4333e+00,3.4333e+00,0.0000e+00,0.0000e+00,1.8115e-01,1.5923e-01,1.5923e-01,-1.4067e-01,-7.4000e-17,-1.4067e-01,3.1917e+00,3.1917e+00,6.6667e-01,6.6667e-01,1.9372e-01,1.7483e-01,1.7483e-01,-1.0497e-01,0.0000e+00,-1.0497e-01,
20,6.9977e+03,3.5007e+03,3.4970e+03,3.4987e+00,0.0000e+00,1.0014e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.8778e-01,4.8097e-01,6.9385e-01,5.8000e-01,4.5018e-01,7.0985e-01,2.7917e+00,2.7917e+00,1.1667e+00,1.1667e+00,1.0455e-01,9.2447e-02,9.2447e-02,-1.3849e-01,-3.7000e-17,-1.3849e-01,2.4000e+00,2.4000e+00,3.1667e+00,3.1667e+00,1.2254e-01,1.0695e-01,1.0695e-01,-1.5088e-01,-1.4800e-16,-1.5088e-01,
25,6.9912e+03,3.4908e+03,3.5003e+03,3.4955e+00,0.0000e+00,9.9748e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.5025e-01,4.0708e-01,6.9313e-01,5.4783e-01,4.1067e-01,6.8503e-01,2.4333e+00,2.4333e+00,2.6667e+00,2.6667e+00,6.3120e-02,5.5460e-02,5.5460e-02,-1.3163e-01,0.0000e+00,-1.3163e-01,1.9667e+00,1.9667e+00,6.3333e+00,6.3333e+00,5.9592e-02,5.3318e-02,5.3318e-02,-1.1001e-01,-1.8500e-16,-1.1001e-01,
30,6.9943e+03,3.5037e+03,3.4907e+03,3.4970e+00,0.0000e+00,1.0040e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4940e-01,3.9606e-01,7.0080e-01,5.5227e-01,4.0386e-01,7.0072e-01,2.2167e+00,2.2167e+00,3.5000e+00,3.5000e+00,3.3672e-02,2.8825e-02,2.8825e-02,-1.1024e-01,3.7000e-17,-1.1024e-01,1.7417e+00,1.7417e+00,8.1667e+00,8.1667e+00,3.6792e-02,3.1390e-02,3.1390e-02,-1.2555e-01,-7.4000e-17,-1.2555e-01,
35,6.9962e+03,3.5022e+03,3.4940e+03,3.4977e+00,0.0000e+00,1.0025e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4463e-01,3.8890e-01,7.0110e-01,5.4508e-01,3.8904e-01,7.0110e-01,2.2333e+00,2.2333e+00,3.3333e+00,3.3333e+00,1.7830e-02,1.6330e-02,1.6330e-02,-5.7567e-02,-5.5500e-17,-5.7567e-02,1.7167e+00,1.7167e+00,8.1667e+00,8.1667e+00,2.4928e-02,2.1178e-02,2.1178e-02,-1.2277e-01,-7.4000e-17,-1.2277e-01,
40,6.9992e+03,3.5037e+03,3.4955e+03,3.4993e+00,0.0000e+00,1.0023e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4400e-01,3.8860e-01,7.0117e-01,5.4485e-01,3.8853e-01,7.0115e-01,2.0833e+00,2.0833e+00,4.0000e+00,4.0000e+00,9.0165e-03,8.7525e-03,8.7525e-03,-1.1240e-02,-7.4000e-17,-1.1240e-02,1.6583e+00,1.6583e+00,8.5000e+00,8.5000e+00,9.4200e-03,8.3000e-03,8.3000e-03,-4.9258e-02,-1.4800e-16,-4.9258e-02,
45,6.9992e+03,3.5225e+03,3.4767e+03,3.4993e+00,0.0000e+00,1.0136e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4322e-01,3.8853e-01,7.0100e-01,5.4478e-01,3.8852e-01,7.0107e-01,2.0083e+00,2.0083e+00,5.0000e+00,5.0000e+00,4.1681e-03,3.5344e-03,3.5344e-03,-4.3757e-02,0.0000e+00,-4.3757e-02,1.6500e+00,1.6500e+00,8.8333e+00,8.8333e+00,5.7208e-03,5.3966e-03,5.3966e-03,-2.1129e-02,-1.4800e-16,-2.1129e-02,
