replicate,generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.fem.p1,off.fem.p2,off.fem.p3,off.fem.p4,off.fem.p5,off.fem.p6,off.fem.p7,off.fem.p8,off.fem.p9,off.mal.p1,off.mal.p2,off.mal.p3,off.mal.p4,off.mal.p5,off.mal.p6,off.mal.p7,off.mal.p8,off.mal.p9,adlt.fem.p1,adlt.fem.p2,adlt.fem.p3,adlt.fem.p4,adlt.fem.p5,adlt.fem.p6,adlt.fem.p7,adlt.fem.p8,adlt.fem.p9,adlt.mal.p1,adlt.mal.p2,adlt.mal.p3,adlt.mal.p4,adlt.mal.p5,adlt.mal.p6,adlt.mal.p7,adlt.mal.p8,adlt.mal.p9,age.patch1,age.patch2,age.patch3,age.patch4,age.patch5,age.patch6,age.patch7,age.patch8,age.patch9,patch.avg.age,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp
1,1,2001,120.8,129.4,#NOM?,0.009303,0.9333,1440,90,90,#NOM?,0,1,0.1111,148,92,138,77,140,0,142,170,59,157,76,151,64,159,0,164,177,87,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,0,0,0,0,0,0,0,0,0,0,0.1111,0.5059,0.5065,0.5054,0.5047,0.4968,0.5125
1,5,2037,126.5,128.1,#NOM?,0.005918,0.9873,1440,90,90,#NOM?,0,1,0.1111,146,74,164,89,155,0,152,145,87,163,76,162,73,165,0,163,139,84,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,4,4,4,4,4,0,4,4,4,3,0.1111,0.5205,0.4868,0.5538,0.5196,0.5064,0.5328
1,10,1965,122.2,123.4,#NOM?,0.002732,0.9909,1440,90,90,#NOM?,0,1,0.1111,151,78,162,74,128,0,152,150,83,138,68,149,77,158,0,167,156,74,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,9,9,9,9,9,0,9,9,9,8,0.1111,0.537,0.4947,0.5789,0.5503,0.4979,0.6027
1,15,2036,128.4,126.1,#NOM?,0.00782,1.018,1440,90,90,#NOM?,0,1,0.1111,151,84,192,71,139,0,164,150,76,156,66,159,77,143,0,164,160,84,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,14,14,14,14,14,0,14,14,14,12,0.1111,0.5192,0.4549,0.5846,0.5428,0.4858,0.5998
1,20,2046,131.6,124.1,#NOM?,0.002527,1.06,1438,89.75,90,#NOM?,3.62E-05,0.9972,0.1111,155,74,147,76,162,0,183,173,83,161,74,159,73,162,0,150,138,76,111,55,111,53,111,0,111,111,55,111,55,111,55,111,0,111,111,55,19,19,19,19,19,0,19,19,19,16,0.1111,0.5374,0.4975,0.5796,0.5234,0.484,0.5628
1,25,1922,120.6,119.6,#NOM?,0.003725,1.008,1440,90,90,#NOM?,0,1,0.1111,162,72,157,67,139,0,145,141,82,159,67,128,80,153,0,155,142,73,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,24,24,24,24,24,0,24,24,24,21,0.1111,0.5115,0.4864,0.5368,0.5152,0.4894,0.5409
1,30,2012,125.5,126,#NOM?,0.02072,0.996,1440,90,90,#NOM?,0,1,0.1111,136,80,179,76,142,0,177,155,59,160,90,153,81,156,0,167,141,60,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,29,29,29,29,29,0,29,29,29,25,0.1111,0.5059,0.458,0.5536,0.5116,0.4851,0.5381
1,35,1998,126.2,123.5,#NOM?,0.001825,1.022,1440,90,90,#NOM?,0,1,0.1111,127,69,155,84,168,0,166,161,80,168,74,154,68,147,0,148,157,72,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,34,34,34,34,34,0,34,34,34,30,0.1111,0.5122,0.4756,0.5496,0.5098,0.4802,0.5394
1,40,1979,126.4,121,#NOM?,0.004003,1.044,1440,90,90,#NOM?,0,1,0.1111,158,73,162,72,161,0,170,135,80,156,82,143,86,150,0,146,138,67,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,39,39,39,39,39,0,39,39,39,34,0.1111,0.5191,0.4934,0.5459,0.5095,0.4789,0.5402
1,45,1980,121.2,126.2,#NOM?,0.005938,0.9604,1440,90,90,#NOM?,0,1,0.1111,137,84,150,75,152,0,136,163,73,162,82,159,79,138,0,171,156,63,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,44,44,44,44,44,0,44,44,44,39,0.1111,0.5355,0.5139,0.5562,0.5188,0.4977,0.5399
1,50,2051,127,129.4,#NOM?,0.001406,0.9816,1440,90,90,#NOM?,0,1,0.1111,165,89,154,74,147,0,154,162,71,156,74,158,76,170,0,156,163,82,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,49,49,49,49,49,0,49,49,49,43,0.1111,0.5161,0.5003,0.5317,0.521,0.5023,0.5397
1,55,1927,122.4,118.5,#NOM?,0.006022,1.033,1435,89.62,89.75,#NOM?,0.000226,0.9986,0.1111,157,72,151,78,145,0,144,154,78,157,67,148,81,144,0,146,152,53,111,55,111,55,111,0,111,111,52,111,55,111,55,111,0,111,111,53,54,54,54,54,54,0,54,54,54,48,0.1111,0.5131,0.4773,0.5501,0.5097,0.4789,0.5404
1,60,1990,132.6,116.1,#NOM?,0.01896,1.142,1440,90,90,#NOM?,0,1,0.1111,166,97,163,78,141,0,165,160,91,124,89,143,67,143,0,149,132,82,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,59,59,59,59,59,0,59,59,59,52,0.1111,0.5049,0.4789,0.5346,0.5057,0.472,0.5394
