generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.fem.p1,off.fem.p2,off.fem.p3,off.fem.p4,off.fem.p5,off.fem.p6,off.fem.p7,off.fem.p8,off.fem.p9,off.mal.p1,off.mal.p2,off.mal.p3,off.mal.p4,off.mal.p5,off.mal.p6,off.mal.p7,off.mal.p8,off.mal.p9,adlt.fem.p1,adlt.fem.p2,adlt.fem.p3,adlt.fem.p4,adlt.fem.p5,adlt.fem.p6,adlt.fem.p7,adlt.fem.p8,adlt.fem.p9,adlt.mal.p1,adlt.mal.p2,adlt.mal.p3,adlt.mal.p4,adlt.mal.p5,adlt.mal.p6,adlt.mal.p7,adlt.mal.p8,adlt.mal.p9,age.patch1,age.patch2,age.patch3,age.patch4,age.patch5,age.patch6,age.patch7,age.patch8,age.patch9,patch.avg.age,extrate
1,2.2715e+03,1.4425e+02,1.3970e+02,0.0000e+00,4.4540e-03,1.2069e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.8317e+02,9.2833e+01,1.7200e+02,8.7000e+01,1.7483e+02,0.0000e+00,1.8200e+02,1.7433e+02,8.7667e+01,1.7083e+02,8.6667e+01,1.7133e+02,8.2833e+01,1.7600e+02,0.0000e+00,1.6850e+02,1.7917e+02,8.2333e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,
5,2.3798e+03,1.5025e+02,1.4723e+02,0.0000e+00,7.9357e-03,1.1920e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.8250e+02,8.6667e+01,1.8683e+02,9.1333e+01,1.8483e+02,0.0000e+00,1.9317e+02,1.8633e+02,9.0333e+01,1.9183e+02,9.3667e+01,1.8200e+02,8.6667e+01,1.8583e+02,0.0000e+00,1.7133e+02,1.7733e+02,8.9167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,4.6667e+00,4.6667e+00,4.6667e+00,4.6667e+00,4.6667e+00,0.0000e+00,4.6667e+00,4.6667e+00,4.6667e+00,3.5000e+00,
10,2.3183e+03,1.4637e+02,1.4340e+02,0.0000e+00,1.0533e-02,1.1914e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.8733e+02,8.7833e+01,1.7400e+02,9.6833e+01,1.7833e+02,0.0000e+00,1.7183e+02,1.8350e+02,9.1333e+01,1.8300e+02,8.7833e+01,1.7050e+02,9.1167e+01,1.7833e+02,0.0000e+00,1.7650e+02,1.7467e+02,8.5333e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.0500e+01,1.0500e+01,1.0500e+01,1.0500e+01,1.0500e+01,0.0000e+00,1.0500e+01,1.0500e+01,1.0500e+01,9.3333e+00,
15,2.3053e+03,1.4395e+02,1.4422e+02,0.0000e+00,1.1582e-02,1.1649e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.6467e+02,8.2500e+01,1.7633e+02,8.7833e+01,1.6917e+02,0.0000e+00,1.8133e+02,1.9383e+02,9.5833e+01,1.7100e+02,8.7667e+01,1.7783e+02,8.9500e+01,1.7800e+02,0.0000e+00,1.8033e+02,1.8183e+02,8.7667e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.6333e+01,1.6333e+01,1.6333e+01,1.6333e+01,1.6333e+01,0.0000e+00,1.6333e+01,1.6333e+01,1.6333e+01,1.4000e+01,
20,2.3333e+03,1.4455e+02,1.4712e+02,0.0000e+00,1.1066e-02,1.1461e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.7383e+02,9.0167e+01,1.7233e+02,8.4167e+01,1.7467e+02,0.0000e+00,1.8050e+02,1.8683e+02,9.3833e+01,1.8467e+02,8.7333e+01,1.7550e+02,9.0500e+01,1.7850e+02,0.0000e+00,1.7983e+02,1.9283e+02,8.7833e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,2.2167e+01,2.2167e+01,2.2167e+01,2.2167e+01,2.2167e+01,0.0000e+00,2.2167e+01,2.2167e+01,2.2167e+01,1.8667e+01,
25,2.3197e+03,1.4428e+02,1.4570e+02,0.0000e+00,1.1074e-02,1.1569e+00,1.6795e+03,1.0500e+02,1.0494e+02,0.0000e+00,1.3558e-05,1.1673e+00,2.5923e-01,1.8033e+02,8.3167e+01,1.7100e+02,9.4667e+01,1.8017e+02,0.0000e+00,1.7850e+02,1.8617e+02,8.0167e+01,1.8283e+02,9.4333e+01,1.7900e+02,9.0333e+01,1.7100e+02,0.0000e+00,1.6633e+02,1.9100e+02,9.0667e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.3667e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,2.8000e+01,2.8000e+01,2.8000e+01,2.8000e+01,2.8000e+01,0.0000e+00,2.8000e+01,2.8000e+01,2.8000e+01,2.4500e+01,
30,2.3465e+03,1.4657e+02,1.4673e+02,0.0000e+00,9.7852e-03,1.1656e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.7367e+02,9.2667e+01,1.7950e+02,9.9000e+01,1.7933e+02,0.0000e+00,1.8250e+02,1.7267e+02,9.3167e+01,1.7967e+02,9.0667e+01,1.7217e+02,9.2167e+01,1.8550e+02,0.0000e+00,1.8250e+02,1.7350e+02,9.7833e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,3.3833e+01,3.3833e+01,3.3833e+01,3.3833e+01,3.3833e+01,0.0000e+00,3.3833e+01,3.3833e+01,3.3833e+01,2.9167e+01,
35,2.3038e+03,1.4582e+02,1.4213e+02,0.0000e+00,7.2700e-03,1.1989e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.7367e+02,7.9667e+01,1.9083e+02,8.9000e+01,1.8317e+02,0.0000e+00,1.8283e+02,1.8050e+02,8.7000e+01,1.8067e+02,8.1000e+01,1.6167e+02,8.7833e+01,1.8383e+02,0.0000e+00,1.7750e+02,1.7450e+02,9.0167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,3.9667e+01,3.9667e+01,3.9667e+01,3.9667e+01,3.9667e+01,0.0000e+00,3.9667e+01,3.9667e+01,3.9667e+01,3.5000e+01,
40,2.3177e+03,1.4480e+02,1.4493e+02,0.0000e+00,1.2199e-02,1.1659e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.8717e+02,8.7167e+01,1.8317e+02,8.2000e+01,1.7417e+02,0.0000e+00,1.7817e+02,1.8383e+02,8.2667e+01,1.8683e+02,8.4167e+01,1.8133e+02,9.0667e+01,1.8600e+02,0.0000e+00,1.6767e+02,1.7300e+02,8.9667e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,4.5500e+01,4.5500e+01,4.5500e+01,4.5500e+01,4.5500e+01,0.0000e+00,4.5500e+01,4.5500e+01,4.5500e+01,3.9667e+01,
45,2.3160e+03,1.4510e+02,1.4440e+02,0.0000e+00,1.6339e-02,1.1729e+00,1.6800e+03,1.0500e+02,1.0500e+02,0.0000e+00,0.0000e+00,1.1667e+00,2.5923e-01,1.7633e+02,8.3167e+01,1.9250e+02,9.2333e+01,1.7550e+02,0.0000e+00,1.7883e+02,1.7417e+02,8.8000e+01,1.8133e+02,8.7833e+01,1.7500e+02,8.3833e+01,1.8533e+02,0.0000e+00,1.7817e+02,1.6850e+02,9.5167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,5.1333e+01,5.1333e+01,5.1333e+01,5.1333e+01,5.1333e+01,0.0000e+00,5.1333e+01,5.1333e+01,5.1333e+01,4.5500e+01,
