replicate generation off.nbr off.nbfem off.nbmal off.density off.dvar off.sexratio adlt.nbr adlt.nbfem adlt.nbmal adlt.density adlt.dvar adlt.sexratio extrate off.disp off.fdisp off.mdisp adlt.disp adlt.fdisp adlt.mdisp off.allnbp off.allnb off.fixlocp off.fixloc off.ho off.hsnei off.htnei off.fis off.fst off.fit adlt.allnbp adlt.allnb adlt.fixlocp adlt.fixloc adlt.ho adlt.hsnei adlt.htnei adlt.fis adlt.fst adlt.fit
1 1 6999 3457 3542 3.499 0 0.976 2000 1000 1000 1 0 1 0 0.6356 0.6005 0.6698 0.5031 0.4985 0.5077 12 12 0 0 0.917 0.8125 0.8125 -0.1285 0 -0.1285 12 12 0 0 0.9182 0.9167 0.9167 -0.001654 -2.22e-16 -0.001654
1 5 6998 3478 3520 3.499 0 0.9881 2000 1000 1000 1 0 1 0 0.6395 0.7216 0.5584 0.6611 0.7034 0.6188 12 12 0 0 0.6277 0.565 0.565 -0.1109 0 -0.1109 12 12 0 0 0.638 0.5814 0.5814 -0.09718 0 -0.09718
1 10 6999 3497 3502 3.499 0 0.9986 2000 1000 1000 1 0 1 0 0.7003 0.7425 0.6583 0.6834 0.7416 0.6252 6.05 6.05 0 0 0.3005 0.2644 0.2644 -0.1365 0 -0.1365 6.5 6.5 0 0 0.3809 0.3321 0.3321 -0.147 -2.22e-16 -0.147
1 15 6997 3508 3489 3.498 0 1.005 2000 1000 1000 1 0 1 0 0.7116 0.7434 0.6796 0.7111 0.7434 0.6788 3.4 3.4 0 0 0.1536 0.1261 0.1261 -0.2182 0 -0.2182 3.35 3.35 0 0 0.1312 0.1231 0.1231 -0.06548 0 -0.06548
1 20 7000 3570 3430 3.5 0 1.041 2000 1000 1000 1 0 1 0 0.7126 0.7434 0.6805 0.7119 0.7434 0.6805 2.7 2.7 2 2 0.06569 0.05373 0.05373 -0.2226 0 -0.2226 2.25 2.25 6 6 0.09922 0.08424 0.08424 -0.1779 0 -0.1779
1 25 6997 3516 3481 3.498 0 1.01 2000 1000 1000 1 0 1 0 0.7123 0.7434 0.6808 0.7121 0.7434 0.6808 2.3 2.3 3 3 0.05967 0.05556 0.05556 -0.07391 0 -0.07391 1.7 1.7 12 12 0.05758 0.05207 0.05207 -0.1058 -2.22e-16 -0.1058
1 30 6998 3537 3461 3.499 0 1.022 2000 1000 1000 1 0 1 0 0.7124 0.7434 0.6806 0.7121 0.7435 0.6807 2.15 2.15 5 5 0.003551 0.003511 0.003511 -0.01141 0 -0.01141 1.85 1.85 7 7 0.006625 0.006466 0.006466 -0.02464 0 -0.02464
1 35 6997 3545 3452 3.498 0 1.027 2000 1000 1000 1 0 1 0 0.7124 0.7434 0.6806 0.7119 0.7432 0.6806 2.4 2.4 2 2 0.0007503 0.0007499 0.0007499 -0.0005762 1.11e-16 -0.0005762 1.55 1.55 11 11 0.0006 0.0005996 0.0005996 -0.0006988 -2.22e-16 -0.0006988
1 40 6999 3465 3534 3.499 0 0.9805 2000 1000 1000 1 0 1 0 0.7117 0.7432 0.6809 0.7119 0.7429 0.6808 1.9 1.9 5 5 0.0004072 0.0004071 0.0004071 -0.0003335 -2.22e-16 -0.0003335 1.7 1.7 8 8 0.0005 0.0004999 0.0004999 -0.0002127 0 -0.0002127
1 45 6999 3497 3502 3.499 0 0.9986 2000 1000 1000 1 0 1 0 0.712 0.7432 0.6807 0.7121 0.7433 0.681 2 2 4 4 0.0002929 0.0002929 0.0002929 -0.0001534 0 -0.0001534 1.55 1.55 10 10 0.000375 0.0003749 0.0003749 -0.0001501 -2.22e-16 -0.0001501
1 50 7000 3482 3518 3.5 0 0.9898 2000 1000 1000 1 0 1 0 0.7119 0.7435 0.6807 0.7119 0.7433 0.6805 2.15 2.15 6 6 0.0004 0.0003999 0.0003999 -0.0002858 0 -0.0002858 1.65 1.65 9 9 0.000425 0.0004249 0.0004249 -0.0001913 -2.22e-16 -0.0001913
1 55 6998 3499 3499 3.499 0 1 2000 1000 1000 1 0 1 0 0.712 0.7434 0.6807 0.712 0.7434 0.6807 2.2 2.2 5 5 0.0004787 0.0004786 0.0004786 -0.0003137 0 -0.0003137 1.5 1.5 10 10 0.00055 0.0005498 0.0005498 -0.0004095 0 -0.0004095
1 60 6999 3480 3519 3.499 0 0.9889 2000 1000 1000 1 0 1 0 0.7118 0.7434 0.6805 0.712 0.7433 0.6807 2.2 2.2 6 6 0.0004286 0.0004285 0.0004285 -0.000268 -2.22e-16 -0.000268 1.65 1.65 7 7 0.00055 0.0005498 0.0005498 -0.0002957 0 -0.0002957
1 65 6999 3516 3483 3.499 0 1.009 2000 1000 1000 1 0 1 0 0.7122 0.7434 0.6807 0.712 0.7434 0.6807 1.9 1.9 6 6 0.0002072 0.0002072 0.0002072 -8.131e-05 0 -8.131e-05 1.3 1.3 14 14 0.000275 0.0002749 0.0002749 -0.0003184 -2.22e-16 -0.0003184
1 70 7000 3555 3445 3.5 0 1.032 2000 1000 1000 1 0 1 0 0.7126 0.7435 0.6807 0.7118 0.7436 0.68 1.8 1.8 6 6 0.02482 0.01878 0.01878 -0.3218 0 -0.3218 1.35 1.35 13 13 0.00035 0.0003498 0.0003498 -0.0005005 0 -0.0005005
1 75 6999 3468 3531 3.499 0 0.9822 2000 1000 1000 1 0 1 0 0.7116 0.7434 0.6803 0.712 0.7434 0.6807 2.2 2.2 3 3 0.02531 0.02352 0.02352 -0.07624 -2.22e-16 -0.07624 1.85 1.85 5 5 0.02397 0.01849 0.01849 -0.2966 0 -0.2966
1 80 6999 3474 3525 3.499 0 0.9855 2000 1000 1000 1 0 1 0 0.7117 0.7433 0.6805 0.712 0.7434 0.6806 2.1 2.1 1 1 0.02573 0.02293 0.02293 -0.122 0 -0.122 1.65 1.65 9 9 0.01752 0.0146 0.0146 -0.2007 -2.22e-16 -0.2007
1 85 7000 3504 3496 3.5 0 1.002 2000 1000 1000 1 0 1 0 0.7119 0.7433 0.6804 0.7118 0.7432 0.6805 2.1 2.1 5 5 0.02581 0.0198 0.0198 -0.3033 0 -0.3033 1.6 1.6 9 9 0.0028 0.002741 0.002741 -0.02171 -2.22e-16 -0.02171
