replicate generation off.nbr off.nbfem off.nbmal off.density off.dvar off.sexratio adlt.nbr adlt.nbfem adlt.nbmal adlt.density adlt.dvar adlt.sexratio extrate off.disp off.fdisp off.mdisp adlt.disp adlt.fdisp adlt.mdisp off.allnbp off.allnb off.fixlocp off.fixloc off.ho off.hsnei off.htnei off.fis off.fst off.fit adlt.allnbp adlt.allnb adlt.fixlocp adlt.fixloc adlt.ho adlt.hsnei adlt.htnei adlt.fis adlt.fst adlt.fit
1 1 2582 1302 1280 1.291 0 1.017 2000 1000 1000 1 0 1 0 0.6298 0.5928 0.6674 0.5031 0.4985 0.5077 12 12 0 0 0.9191 0.8131 0.8131 -0.1304 0 -0.1304 12 12 0 0 0.9182 0.9167 0.9167 -0.001654 -2.22e-16 -0.001654 
1 5 2585 1302 1283 1.292 0 1.015 2000 1000 1000 1 0 1 0 0.6494 0.8227 0.4736 0.6599 0.7791 0.5408 12 12 0 0 0.6017 0.5319 0.5319 -0.1313 2.22e-16 -0.1313 12 12 0 0 0.6705 0.601 0.601 -0.1156 -2.22e-16 -0.1156
1 10 2572 1263 1309 1.286 0 0.9649 2000 1000 1000 1 0 1 0 0.5164 0.7987 0.244 0.5765 0.8224 0.3305 5 5 0 0 0.3519 0.3016 0.3016 -0.1668 0 -0.1668 6 6 0 0 0.3824 0.3537 0.3537 -0.08106 0 -0.08106
1 15 2585 1289 1296 1.292 0 0.9946 2000 1000 1000 1 0 1 0 0.4834 0.7993 0.1692 0.4829 0.7936 0.1723 3 3 2 2 0.1994 0.1867 0.1867 -0.06796 1.11e-16 -0.06796 2.85 2.85 3 3 0.216 0.1983 0.1983 -0.08922 0 -0.08922
1 20 2516 1278 1238 1.258 0 1.032 2000 1000 1000 1 0 1 0 0.4871 0.7959 0.1684 0.4767 0.7852 0.1682 2.15 2.15 3 3 0.1139 0.1041 0.1041 -0.09448 0 -0.09448 2.3 2.3 4 4 0.1283 0.1106 0.1106 -0.1591 0 -0.1591
1 25 2613 1318 1295 1.306 0 1.018 2000 1000 1000 1 0 1 0 0.4895 0.8053 0.1681 0.4866 0.805 0.1683 2.05 2.05 6 6 0.05209 0.04835 0.04835 -0.07723 0 -0.07723 1.95 1.95 7 7 0.03993 0.036 0.036 -0.1091 0 -0.1091
1 30 2539 1297 1242 1.27 0 1.044 2000 1000 1000 1 0 1 0 0.4937 0.8056 0.1679 0.4868 0.8056 0.1679 1.6 1.6 10 10 0.02824 0.02749 0.02749 -0.02734 0 -0.02734 1.55 1.55 9 9 0.03058 0.02991 0.02991 -0.0224 -2.22e-16 -0.0224
1 35 2561 1240 1321 1.28 0 0.9387 2000 1000 1000 1 0 1 0 0.4768 0.8057 0.168 0.4868 0.8058 0.1678 1.55 1.55 11 11 0.00207 0.002045 0.002045 -0.01174 0 -0.01174 1.5 1.5 12 12 0.003875 0.003761 0.003761 -0.03028 -2.22e-16 -0.03028
1 40 2573 1309 1264 1.286 0 1.036 2000 1000 1000 1 0 1 0 0.4923 0.8057 0.1678 0.487 0.8058 0.1682 1.7 1.7 9 9 0.0004664 0.0004662 0.0004662 -0.0004943 1.11e-16 -0.0004943 1.85 1.85 8 8 0.000725 0.0007246 0.0007246 -0.0004919 -2.22e-16 -0.0004919
1 45 2564 1295 1269 1.282 0 1.02 2000 1000 1000 1 0 1 0 0.4897 0.8052 0.1678 0.4867 0.8055 0.1678 1.65 1.65 9 9 0.02206 0.0173 0.0173 -0.2745 -2.22e-16 -0.2745 1.65 1.65 8 8 0.0256 0.02475 0.02475 -0.03446 -2.22e-16 -0.03446
1 50 2521 1231 1290 1.26 0 0.9543 2000 1000 1000 1 0 1 0 0.4794 0.8057 0.168 0.4868 0.8056 0.168 1.6 1.6 9 9 0.001071 0.001066 0.001066 -0.00451 0 -0.00451 1.55 1.55 11 11 0.00165 0.001633 0.001633 -0.01059 0 -0.01059
1 55 2587 1304 1283 1.294 0 1.016 2000 1000 1000 1 0 1 0 0.4894 0.8057 0.168 0.4868 0.8056 0.168 1.6 1.6 10 10 0.0003672 0.0003671 0.0003671 -0.0001934 0 -0.0001934 1.6 1.6 8 8 0.00035 0.00035 0.00035 -7.147e-05 -2.22e-16 -7.147e-05
1 60 2428 1192 1236 1.214 0 0.9644 2000 1000 1000 1 0 1 0 0.481 0.8055 0.1681 0.4865 0.8055 0.1676 1.85 1.85 7 7 0.0007619 0.0007616 0.0007616 -0.0004735 0 -0.0004735 2 2 3 3 0.00085 0.0008497 0.0008497 -0.0003606 -2.22e-16 -0.0003606
1 65 2591 1280 1311 1.296 0 0.9764 2000 1000 1000 1 0 1 0 0.483 0.8057 0.1679 0.4868 0.8057 0.168 1.4 1.4 13 13 0.0002316 0.0002315 0.0002315 -0.000338 1.11e-16 -0.000338 1.5 1.5 12 12 0.00045 0.0004498 0.0004498 -0.000431 -2.22e-16 -0.000431
1 70 2559 1307 1252 1.28 0 1.044 2000 1000 1000 1 0 1 0 0.4935 0.8055 0.1679 0.4864 0.8051 0.1677 1.95 1.95 6 6 0.0005862 0.0005859 0.0005859 -0.0004172 0 -0.0004172 1.85 1.85 7 7 0.000675 0.0006747 0.0006747 -0.0003707 0 -0.0003707
1 75 2580 1281 1299 1.29 0 0.9861 2000 1000 1000 1 0 1 0 0.4846 0.8057 0.168 0.4867 0.8055 0.1678 1.85 1.85 7 7 0.0006202 0.0006199 0.0006199 -0.0003394 -2.22e-16 -0.0003394 1.4 1.4 13 13 0.000425 0.0004248 0.0004248 -0.0004269 -2.22e-16 -0.0004269
1 80 2605 1335 1270 1.302 0 1.051 2000 1000 1000 1 0 1 0 0.4947 0.8056 0.1678 0.4868 0.8057 0.1679 1.9 1.9 5 5 0.02578 0.02302 0.02302 -0.1196 0 -0.1196 1.55 1.55 11 11 0.01695 0.01423 0.01423 -0.1911 0 -0.1911
1 85 2648 1331 1317 1.324 0 1.011 2000 1000 1000 1 0 1 0 0.4883 0.8056 0.1677 0.4866 0.8055 0.1677 1.7 1.7 6 6 0.02581 0.0233 0.0233 -0.1078 0 -0.1078 1.65 1.65 10 10 0.02378 0.01833 0.01833 -0.2974 0 -0.2974
1 90 2617 1295 1322 1.308 0 0.9796 2000 1000 1000 1 0 1 0 0.4835 0.8057 0.1679 0.4869 0.8058 0.1681 1.85 1.85 6 6 0.01127 0.01011 0.01011 -0.1151 0 -0.1151 1.7 1.7 6 6 0.02198 0.01731 0.01731 -0.2693 0 -0.2693
1 95 2495 1289 1206 1.248 0 1.069 2000 1000 1000 1 0 1 0 0.4975 0.8059 0.1678 0.4869 0.8055 0.1682 1.65 1.65 9 9 0.0008016 0.0007993 0.0007993 -0.00283 0 -0.00283 1.4 1.4 13 13 0.000875 0.0008706 0.0008706 -0.005071 0 -0.005071
1 100 2537 1272 1265 1.268 0 1.006 2000 1000 1000 1 0 1 0 0.4873 0.805 0.1678 0.4868 0.8054 0.1681 1.6 1.6 11 11 0.0002956 0.0002956 0.0002956 -0.0001315 0 -0.0001315 1.45 1.45 11 11 0.000425 0.0004248 0.0004248 -0.0003532 0 -0.0003532
1 105 2497 1199 1298 1.248 0 0.9237 2000 1000 1000 1 0 1 0 0.474 0.8056 0.1677 0.4866 0.8054 0.1678 1.6 1.6 10 10 0.0003004 0.0003003 0.0003003 -0.0001469 0 -0.0001469 1.35 1.35 13 13 0.00025 0.0002499 0.0002499 -0.0002001 -2.22e-16 -0.0002001
1 110 2510 1234 1276 1.255 0 0.9671 2000 1000 1000 1 0 1 0 0.4815 0.8058 0.1678 0.4866 0.8055 0.1678 1.7 1.7 8 8 0.0003586 0.0003585 0.0003585 -0.0001218 0 -0.0001218 1.55 1.55 10 10 0.000375 0.0003749 0.0003749 -0.0001668 0 -0.0001668
1 115 2597 1284 1313 1.298 0 0.9779 2000 1000 1000 1 0 1 0 0.4831 0.8055 0.1678 0.4866 0.8055 0.1677 1.5 1.5 12 12 0.0003466 0.0003465 0.0003465 -0.000289 1.11e-16 -0.000289 1.75 1.75 8 8 0.00065 0.0006497 0.0006497 -0.0003946 0 -0.0003946
1 120 2532 1226 1306 1.266 0 0.9387 2000 1000 1000 1 0 1 0 0.4841 0.8212 0.1677 0.5023 0.8368 0.1678 1.75 1.75 6 6 0.0004344 0.0004343 0.0004343 -0.0002964 -2.22e-16 -0.0002964 1.6 1.6 10 10 0.00045 0.0004499 0.0004499 -0.0002641 0 -0.0002641
1 125 2495 1279 1216 1.248 0 1.052 2000 1000 1000 1 0 1 0 0.5166 0.8059 0.2123 0.5041 0.8058 0.2025 1.7 1.7 8 8 0.0003407 0.0003406 0.0003406 -0.0001297 0 -0.0001297 1.35 1.35 14 14 0.0003 0.0002999 0.0002999 -0.0003128 0 -0.0003128
